Trial Number,First Objective,Second Objective,Third Objective,Fourth Objective,Parameters,Duration (seconds),Duration (minutes),Duration (hours)
4,104.0,74.0,-35.0,885.0,"destruction_degree: (0.15, 0.3)",1396,23.27,0.3878
3,104.0,76.0,-37.0,1013.0,"destruction_degree: (0.05, 0.3)",1062,17.7,0.295
1,104.0,77.0,-39.0,956.0,"destruction_degree: (0.05, 0.15)",721,12.02,0.2003
0,104.0,80.0,-35.0,1022.0,"destruction_degree: (0.15, 0.5)",1649,27.48,0.4581
2,99.0,66.0,-28.0,918.0,"destruction_degree: (0.3, 0.5)",1734,28.9,0.4817
