Trial Number,First Objective,Second Objective,Third Objective,Fourth Objective,Parameters,Duration (seconds),Duration (minutes),Duration (hours)
0,40.0,60.0,-10.0,671.0,"destruction_degree: (0.05, 0.15)",898,14.97,0.2494
1,40.0,64.0,-10.0,710.0,"destruction_degree: (0.15, 0.5)",1835,30.58,0.5097
3,40.0,65.0,-10.0,697.0,"destruction_degree: (0.15, 0.3)",704,11.73,0.1956
2,35.0,54.0,-10.0,590.0,"destruction_degree: (0.3, 0.5)",1712,28.53,0.4756
4,35.0,54.0,-10.0,590.0,"destruction_degree: (0.05, 0.3)",697,11.62,0.1936
