Trial Number,First Objective,Second Objective,Third Objective,Fourth Objective,Parameters,Duration (seconds),Duration (minutes),Duration (hours)
2,91.0,77.0,-23.0,967.0,"destruction_degree: [0.05, 0.15]",950,15.83,0.2639
4,91.0,80.0,-25.0,920.0,"destruction_degree: [0.15, 0.3]",2390,39.83,0.6639
0,86.0,76.0,-27.0,885.0,"destruction_degree: [0.3, 0.5]",410,6.83,0.1139
1,86.0,76.0,-27.0,885.0,"destruction_degree: [0.15, 0.5]",603,10.05,0.1675
3,86.0,76.0,-27.0,885.0,"destruction_degree: [0.05, 0.3]",1460,24.33,0.4056
