Trial Number,First Objective,Second Objective,Third Objective,Fourth Objective,Parameters,Duration (seconds),Duration (minutes),Duration (hours)
3,40.0,65.0,-10.0,548.0,iterations_update: 0.01,618,10.3,0.1717
1,40.0,66.0,-10.0,588.0,iterations_update: 0.05,551,9.18,0.1531
0,35.0,54.0,-10.0,590.0,iterations_update: 0.1,553,9.22,0.1536
2,35.0,54.0,-10.0,590.0,iterations_update: 0.5,510,8.5,0.1417
4,35.0,54.0,-10.0,590.0,iterations_update: 0.35,528,8.8,0.1467
5,35.0,54.0,-10.0,590.0,iterations_update: 0.2,545,9.08,0.1514
