,0
"(4, 42)",15.195
"(4, 43)",17.2817
"(4, 44)",17.2817
"(4, 45)",12.0617
"(4, 46)",12.0617
"(4, 47)",12.0617
"(4, 48)",12.0617
"(4, 49)",12.0617
"(4, 62)",15.2283
"(4, 63)",15.2283
"(4, 64)",15.195
"(4, 65)",15.2283
"(4, 66)",15.2283
"(4, 67)",15.195
"(4, 68)",15.2283
"(4, 69)",15.2283
"(4, 70)",15.195
"(4, 71)",13.1783
"(4, 72)",13.1783
"(4, 73)",13.1783
"(4, 74)",13.1783
"(4, 75)",13.1783
"(4, 96)",13.785
"(4, 97)",13.785
"(4, 98)",13.785
"(5, 0)",15.195
"(5, 1)",0.0
"(5, 2)",0.0
"(5, 3)",0.0
"(5, 4)",0.0
"(5, 5)",0.0
"(5, 17)",13.785
"(5, 18)",13.785
"(5, 19)",15.195
"(5, 20)",13.785
"(5, 21)",13.785
"(5, 22)",15.195
"(5, 23)",13.785
"(5, 24)",13.785
"(5, 25)",15.195
"(5, 26)",13.785
"(5, 27)",13.785
"(5, 28)",12.3267
"(5, 29)",12.3267
"(5, 30)",12.3267
"(5, 31)",12.3267
"(5, 32)",12.3267
"(5, 33)",15.195
"(5, 34)",9.4817
"(5, 35)",9.4817
"(5, 36)",9.4817
"(5, 37)",15.195
"(5, 38)",15.195
"(5, 39)",9.4817
"(5, 40)",9.4817
"(5, 41)",9.4817
"(5, 42)",15.195
"(5, 43)",17.2817
"(5, 44)",17.2817
"(5, 45)",12.0617
"(5, 46)",12.0617
"(5, 47)",12.0617
"(5, 48)",12.0617
"(5, 49)",12.0617
"(5, 62)",15.2283
"(5, 63)",15.2283
"(5, 64)",15.195
"(5, 65)",15.2283
"(5, 66)",15.2283
"(5, 67)",15.195
"(5, 68)",15.2283
"(5, 69)",15.2283
"(5, 70)",15.195
"(5, 71)",13.1783
"(5, 72)",13.1783
"(5, 73)",13.1783
"(5, 74)",13.1783
"(5, 75)",13.1783
"(5, 96)",13.785
"(5, 97)",13.785
"(5, 98)",13.785
"(17, 0)",23.8533
"(17, 1)",12.315
"(17, 2)",12.315
"(17, 3)",12.315
"(17, 4)",12.315
"(17, 5)",12.315
"(17, 17)",0.0
"(17, 18)",0.0
"(17, 19)",23.8533
"(17, 20)",0.0
"(17, 21)",0.0
"(17, 22)",23.8533
"(17, 23)",0.0
"(17, 24)",0.0
"(17, 25)",23.8533
"(17, 26)",0.0
"(17, 27)",0.0
"(17, 28)",6.545
"(17, 29)",6.545
"(17, 30)",6.545
"(17, 31)",6.545
"(17, 32)",6.545
"(17, 33)",23.8533
"(17, 34)",17.3517
"(17, 35)",17.3517
"(17, 36)",17.3517
"(17, 37)",23.8533
"(17, 38)",23.8533
"(17, 39)",17.3517
"(17, 40)",17.3517
"(17, 41)",17.3517
"(17, 42)",23.8533
"(17, 43)",25.94
"(17, 44)",25.94
"(17, 45)",20.72
"(17, 46)",20.72
"(17, 47)",20.72
"(17, 48)",20.72
"(17, 49)",20.72
"(17, 62)",23.8867
"(17, 63)",23.8867
"(17, 64)",23.8533
"(17, 65)",23.8867
"(17, 66)",23.8867
"(17, 67)",23.8533
"(17, 68)",23.8867
"(17, 69)",23.8867
"(17, 70)",23.8533
"(17, 71)",21.8367
"(17, 72)",21.8367
"(17, 73)",21.8367
"(17, 74)",21.8367
"(17, 75)",21.8367
