Trial Number,First Objective,Second Objective,Third Objective,Fourth Objective,Parameters,Duration (seconds),Duration (minutes),Duration (hours)
2,66.0,71.0,-22.0,949.0,iterations_update: 0.1,4518,75.3,1.255
1,64.0,68.0,-31.0,912.0,iterations_update: 0.05,3839,63.98,1.0664
0,63.0,58.0,-16.0,965.0,iterations_update: 0.2,4048,67.47,1.1244
3,63.0,59.0,-15.0,1057.0,iterations_update: 0.01,4635,77.25,1.2875
5,63.0,60.0,-21.0,995.0,iterations_update: 0.5,4275,71.25,1.1875
4,61.0,56.0,-17.0,956.0,iterations_update: 0.35,4315,71.92,1.1986
