Trial Number,First Objective,Second Objective,Third Objective,Fourth Objective,Parameters,Duration (seconds),Duration (minutes),Duration (hours)
0,137.0,70.0,-32.0,1378.0,"destruction_degree: (0.3, 0.5)",4164,69.4,1.1567
3,131.0,68.0,-27.0,1329.0,"destruction_degree: (0.05, 0.3)",2652,44.2,0.7367
1,130.0,81.0,-34.0,1312.0,"destruction_degree: (0.15, 0.5)",3819,63.65,1.0608
2,129.0,63.0,-33.0,1299.0,"destruction_degree: (0.05, 0.15)",2233,37.22,0.6203
4,128.0,71.0,-28.0,1537.0,"destruction_degree: (0.15, 0.3)",3586,59.77,0.9961
